部,函,經號,headN,藏文經名,中文經名
,,,3,རྐྱང་པའི་སྒོ་གཉིས་པ་བཤད་པ།,說獨門第二經
,,,4,རྐྱང་པའི་སྒོ་གཉིས་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་དང་པོ་བཤད་པ།,說獨門第二經第一頌
,,,4,རྐྱང་པའི་སྒོ་གཉིས་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་གཉིས་པ་བཤད་པ།,說獨門第二經第二頌
,,,4,རྐྱང་པའི་སྒོ་གཉིས་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་གསུམ་པ་བཤད་པ།,說獨門第二經第三頌
,,,4,རྐྱང་པའི་སྒོ་གཉིས་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་བཞི་པ་བཤད་པ།,說獨門第二經第四頌
,,,4,རྐྱང་པའི་སྒོ་གཉིས་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་ལྔ་པ་བཤད་པ།,說獨門第二經第五頌
,,,4,རྐྱང་པའི་སྒོ་གཉིས་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་དྲུག་པ་བཤད་པ།,說獨門第二經第六頌
,,,4,རྐྱང་པའི་སྒོ་གཉིས་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་བདུན་པ་བཤད་པ།,說獨門第二經第七頌
,,,4,རྐྱང་པའི་སྒོ་གཉིས་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་བརྒྱད་པ་བཤད་པ།,說獨門第二經第八頌
,,,4,རྐྱང་པའི་སྒོ་གཉིས་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་དགུ་པ་བཤད་པ།,說獨門第二經第九頌
,,,4,རྐྱང་པའི་སྒོ་གཉིས་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་བཅུ་པ་བཤད་པ།,說獨門第二經第十頌
,,,3,རྐྱང་པའི་སྒོ་གསུམ་པ་བཤད་པ།,說獨門第三經
,,,4,རྐྱང་པའི་སྒོ་གསུམ་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་དང་པོ་བཤད་པ།,說獨門第三經第一頌
,,,4,རྐྱང་པའི་སྒོ་གསུམ་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་གཉིས་པ་བཤད་པ།,說獨門第三經第二頌
,,,4,རྐྱང་པའི་སྒོ་གསུམ་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་གསུམ་པ་བཤད་པ།,說獨門第三經第三頌
,,,4,རྐྱང་པའི་སྒོ་གསུམ་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་བཞི་པ་བཤད་པ།,說獨門第三經第四頌
,,,4,རྐྱང་པའི་སྒོ་གསུམ་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་ལྔ་པ་བཤད་པ།,說獨門第三經第五頌
,,,4,རྐྱང་པའི་སྒོ་གསུམ་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་དྲུག་པ་བཤད་པ།,說獨門第三經第六頌
,,,4,རྐྱང་པའི་སྒོ་གསུམ་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་བདུན་པ་བཤད་པ།,說獨門第三經第七頌
,,,4,རྐྱང་པའི་སྒོ་གསུམ་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་བརྒྱད་པ་བཤད་པ།,說獨門第三經第八頌
,,,4,རྐྱང་པའི་སྒོ་གསུམ་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་དགུ་པ་བཤད་པ།,說獨門第三經第九頌
,,,4,རྐྱང་པའི་སྒོ་གསུམ་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་བཅུ་པ་བཤད་པ།,說獨門第三經第十頌
,,,3,རྐྱང་པའི་སྒོ་བཞི་པ་བཤད་པ།,說獨門第四經
,,,4,རྐྱང་པའི་སྒོའི་མདོ་བཞི་པའི་ཚིགས་སུ་བཅད་པ་དང་པོ་བཤད་པ།,說獨門第四經第一頌
,,,4,རྐྱང་པའི་སྒོ་བཞི་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་གཉིས་པ་བཤད་པ།,說獨門第四經第二頌
,,,4,རྐྱང་པའི་སྒོ་བཞི་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་གསུམ་པ་བཤད་པ།,說獨門第四經第三頌
,,,4,རྐྱང་པའི་སྒོ་བཞི་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་བཞི་པ་བཤད་པ།,說獨門第四經第四頌
,,,4,རྐྱང་པའི་སྒོ་བཞི་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་ལྔ་པ་བཤད་པ།,說獨門第四經第五頌
,,,4,རྐྱང་པའི་སྒོ་བཞི་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་དྲུག་པ་བཤད་པ།,說獨門第四經第六頌
,,,4,རྐྱང་པའི་སྒོ་བཞི་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་བདུན་པ་བཤད་པ།,說獨門第四經第七頌
,,,4,རྐྱང་པའི་སྒོ་བཞི་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་བརྒྱད་པ་བཤད་པ།,說獨門第四經第八頌
,,,4,རྐྱང་པའི་སྒོ་བཞི་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་དགུ་པ་བཤད་པ།,說獨門第四經第九頌
,,,4,རྐྱང་པའི་སྒོ་བཞི་པའི་མདོའི་ཚིགས་སུ་བཅད་པ་བཅུ་པ་བཤད་པ།,說獨門第四經第十頌
,,,2,འདུལ་བ་གཞུང་དམ་པ་ལས་གཏམ་གྱི་དངོས་པོ་བཤད་པ།,律上分中廣說事
,,,2,འདུལ་བ་གཞུང་དམ་པ་ལས་མ་ན་བི་ཀ་ཞེས་བྱ་བ་བཤད་པ།,律上分中說婆羅門女事
,,,3,འདུལ་བ་གཞུང་དམ་པ་ལས་མ་ན་བི་ཀ་བའི་སྒོ་དང་པོ་བཤད་པ།,律上分中說婆羅門女事初門
,,,3,འདུལ་བ་གཞུང་དམ་པ་མ་ན་བི་ཀ་ཞེས་བྱ་བའི་འདུལ་བའི་རིམ་པ་བཤད་པ།,律上分中說婆羅門女事調伏事
,,,2,འདུལ་བ་གཞུང་དམ་པ་ལས་མ་ལྟ་བུ་བཤད་པ།,律上分中如母說
,,,3,འདུལ་བ་གཞུང་དམ་པ་ལས་མ་ལྟ་བུའི་བསྙེན་པར་རྫོགས་པའི་ཕུང་པོ་དང་པོ་བཤད་པ།,律上分中如母說近圓聚初門
,,,4,མ་ལྟ་བུ་ལས་དངོས་པོ་གཉིས་ཀྱི་ལེའུ་བཤད་པ།,如母說中二事品
,,,4,མ་ལྟ་བུའི་རབ་ཏུ་ལྡན་པའི་ཕུང་པོ་ཞེས་བྱ་བ་ཕུང་པོ་གཉིས་པ་བཤད་པ།,如母說中善具聚第二
,,,4,མ་ལྟ་བུའི་དུམ་བུ་གསུམ་པོའི་དངོས་པོ་བཤད་པ།,如母說中第三事
,,,4,མ་ལྟ་བུའི་བྱ་བའི་ཕུང་པོ་ཞེས་བྱ་བའི་ཕུང་པོ་གསུམ་པ་བཤད་པ།,第三聚-如母聚
,,,4,ཨུ་པཱ་ལིས་ཀུན་དྲིས་པ་བཤད་པ།,優婆離所問說
,,J8b,1,འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ།,聖普賢行願王
,,J8c,1,འཕགས་པ་བྱམས་པའི་སྨོན་ལམ།,聖慈氏願文
,,J8d,1,མཆོག་གི་སྤྱོད་པའི་སྨོན་ལམ།,殊勝行願文
,,J8e,1,མར་མེའི་ལོ་རྒྱུས་དང་སྨོན་ལམ་གྱི་མདོ།,燃燈往事祈願經
,,J8f,1,འཕགས་པ་གསེར་འོད་དམ་པ་མདོ་སྡེའི་དབང་པོའི་རྒྱལ་པོ་ལས་གསུངས་པའི་སྨོན་ལམ།,金光明經最勝王所說願文
,,J8g,1,འཕགས་པ་སྟོང་ཆེན་མོ་རབ་ཏུ་འཇོམས་པ་ལས་གསུངས་པའི་སྨོན་ལམ།,摧滅大千經所說願文
,,J8h,1,རིགས་སྔགས་ཀྱི་རྒྱལ་མོ་རྨ་བྱ་ཆེན་མོ་ལས་གསུངས་པའི་སྨོན་ལམ་དང་བདེན་ཚིག །,大孔雀明王經所說願文及真實文
,,J8i,1,ཡངས་པའི་གྲོང་ཁྱེར་དུ་འཇུག་པའི་བདེ་ལེགས་ཀྱི་ཚིགས་སུ་བཅད་པ།,趣廣嚴城善樂偈
,,J8j,1,བདེ་ལེགས་ཀྱི་ཚིགས་སུ་བཅད་པ།,妙善樂偈
,,J8k,1,བདེ་ལེགས་སུ་འགྱུར་བའི་ཚིགས་སུ་བཅད་པ།,成妙善樂偈
,,J8l,1,ཤིས་པར་བརྗོད་པའི་ཚིགས་སུ་བཅད་པ།,誦吉祥偈
,,J8m,1,དཀོན་མཆོག་གསུམ་གྱི་བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།,三寶吉祥偈
,,J8n,1,ལྷའི་དབང་པོ་བརྒྱ་བྱིན་ལ་སོགས་པ་གསུམ་གྱིས་བཀྲ་ཤིས་ཚིགས་སུ་བཅད་པ།,帝釋天主等三天人吉祥偈
,,J8o,1,བཅོམ་ལྡན་འདས་ལ་ལྷའི་རྒྱལ་པོ་རབ་མཚེམས་བཀྲ་ཤིས་ཚིགས་སུ་བཅད་པ།,究竟天王供養世尊吉祥偈
,,J8p,1,བཅོམ་ལྡན་འདས་ལ་ལྷའི་རྒྱལ་པོ་རབ་དགའ་ལྡན་གྱིས་བཀྲ་ཤིས་ཚིགས་སུ་བཅད་པ།,兜率天王供養世尊吉祥偈
,,J8q,1,ལྷས་ཞུས་པའི་བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།,諸天請佛吉祥偈
,,J8r,1,སངས་རྒྱས་རབས་བདུན་གྱི་བཀྲ་ཤིས་ཚིགས་སུ་བཅད་པ།,七佛吉祥偈
,,J8s,1,བཀྲ་ཤིས་ཚིགས་སུ་བཅད་པ།,吉祥偈
第2部 ཤེར་ཕྱིན། འབུམ།  Śatasāhasrikāprajñāpāramitā 大般若經,第14函 ཀ,J9,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼ཀ༽,般若十萬頌(一)
,,,2,དང་པོ། གླེང་གཞིའི་ལེའུ།,因緣品第一
,,,2,གཉིས་པ། ཤཱ་རིའི་བུའི་ལེའུ།,舍利弗品第二
,,,2,གསུམ་པ། རབ་འབྱོར་གྱི་ལེའུ། (སྟོད),須菩提品第三(上)
,第15函 ཁ,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼ཁ༽,般若十萬頌（二）
,,,2,གསུམ་པ། རབ་འབྱོར་གྱི་ལེའུ། (སྨད),須菩提品第三(下)
,,,2,བཞི་པ། སྐྱོན་མེད་པའི་ལེའུ།,無過品第四
,,,2,ལྔ་པ། ཀུན་ཏུ་རྒྱུ་བཟོ་སྦྱངས་ཀྱི་ལེའུ།,成熟一切品第五
,,,2,དྲུག་པ། མཚན་མ་མེད་པའི་ལེའུ། (སྟོད),無相品第六(上)
,第16函 ག,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼ག༽,般若十萬頌（三）
,,,2,དྲུག་པ། མཚན་མ་མེད་པའི་ལེའུ། (སྨད),無相品第六(下)
,,,2,བདུན་པ། སྒྱུ་མ་ལྟ་བུའི་ལེའུ།,如幻品第七
,,,2,བརྒྱད་པ། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོའི་ལེའུ། (སྟོད),菩薩摩訶薩品第八(上)
,第17函 ང,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼ང༽,般若十萬頌（四）
,,,2,བརྒྱད་པ། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོའི་ལེའུ། (སྨད),菩薩摩訶薩品第八(下)
,,,2,དགུ་པ། ཏིང་ངེ་འཛིན་གྱི་ལེའུ།,三摩地品第九
,,,2,བཅུ་པ། ལམ་དང་གཟུངས་ཀྱི་ལེའུ།,道與總持品第十
,,,2,བཅུ་གཅིག་པ། ངེས་འབྱུང་གི་ལེའུ།,出離品第十一
,,,2,བཅུ་གཉིས་པ། ཟིལ་གྱིས་གནོན་པའི་ལེའུ།,勝調伏品第十二
,第18函 ཅ,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼ཅ༽,般若十萬頌（五）
,,,2,བཅུ་གསུམ་པ། གཉིས་སུ་མེད་པའི་ལེའུ།,無二品第十三
,,,2,བཅུ་བཞི་པ། རབ་འབྱོར་གྱི་ལེའུ། (སྟོད),須菩提品第十四(上)
,第19函 ཆ,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼ཆ༽,般若十萬頌（六）
,,,2,བཅུ་བཞི་པ། རབ་འབྱོར་གྱི་ལེའུ། (སྨད),須菩提品第十四(下)
,,,2,བཅོ་ལྔ་པ། བརྒྱ་བྱིན་གྱི་ལེའུ།,帝釋品第十五
,,,2,བཅུ་དྲུག་པ། རྟོགས་པར་དཀའ་བའི་ལེའུ།,難解品第十六
,,,2,བཅུ་བདུན་པ། མཐའ་ཡས་ལུང་སྟོན་གྱི་ལེའུ། (སྟོད),授記無邊品第十七(上)
,第20函 ཇ,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼ཇ༽,般若十萬頌（七）
,,,2,བཅུ་བདུན་པ། མཐའ་ཡས་ལུང་སྟོན་གྱི་ལེའུ། (སྨད),授記無邊品第十七(下)
,,,2,བཅོ་བརྒྱད་པ། ཡོན་ཏན་ཡོངས་སུ་གཟུང་བའི་ལེའུ།,總持功德品第十八
,,,2,བཅུ་དགུ་པ། མཆོད་རྟེན་ལ་བསྙེན་བཀུར་བྱས་པའི་ལེའུ།,供塔品第十九
,,,2,ཉི་ཤུ་པ། བྱང་ཆུབ་ཀྱི་སེམས་ཀྱི་ཡོན་ཏན་ཡོངས་སུ་བརྗོད་པའི་ལེའུ།,說菩提心功德品第二十
,,,2,ཉེར་གཅིག་པ། ཀུན་དུ་རྒྱུ་བཟློག་པའི་ལེའུ།,遮一切因品第二十一
,,,2,ཉེར་གཉིས་པ། མཆོད་རྟེན་གྱི་ལེའུ།,塔品第二十二
,,,2,ཉེར་གསུམ་པ། སྐུ་གདུང་གི་ལེའུ།,舍利品第二十三
,,,2,ཉེར་བཞི་པ། བསོད་ནམས་ཀྱི་རྣམ་གྲངས་ཀྱི་ལེའུ། (སྟོད),校量功德品第二十四(上)
,第21函 ཉ,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼ཉ༽,般若十萬頌（八）
,,,2,ཉེར་བཞི་པ། བསོད་ནམས་ཀྱི་རྣམ་གྲངས་ཀྱི་ལེའུ། (སྨད),校量功德品第二十四(下)
,,,2,ཉེར་ལྔ་པ། རྗེས་སུ་ཡི་རང་དང་བསྔོ་བའི་ལེའུ།,隨喜迴向品第二十五
,,,2,ཉེར་དྲུག་པ། སྒྲུབ་པའི་ལེའུ།,成就品第二十六
,第22函 ཏ,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼ཏ༽,般若十萬頌（九）
,,,2,ཉེར་བདུན་པ། དམྱལ་བའི་ལེའུ། (སྟོད),地獄品第二十七(上)
,第23函 ཐ,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼ཐ༽,般若十萬頌（十）
,,,2,ཉེར་བདུན་པ། དམྱལ་བའི་ལེའུ། (སྨད),地獄品第二十七(下)
,,,2,ཉེར་བརྒྱད་པ། རྣམ་པར་དག་པའི་ལེའུ། (སྟོད),清淨品第二十八(上)
,第24函 ད,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼ད༽,般若十萬頌（十一）
,,,2,ཉེར་བརྒྱད་པ། རྣམ་པར་དག་པའི་ལེའུ། (སྨད),清淨品第二十八(下)
,,,2,ཉེར་དགུ་པ། གནས་མེད་པའི་ལེའུ།,無著品第二十九
,,,2,སུམ་ཅུ་པ། དམིགས་པ་མེད་པའི་ལེའུ།,無想品第三十
,,,2,སོ་གཅིག་པ། བྱང་ཕྱོགས་ཀྱི་རྒྱུད་ཀྱི་ལེའུ། (སྟོད),北域品第三十一(上)
,第25函 ན,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼ན༽,般若十萬頌（十二）
,,,2,སོ་གཅིག་པ། བྱང་ཕྱོགས་ཀྱི་རྒྱུད་ཀྱི་ལེའུ། (སྨད),北域品第三十一(下)
,,,2,སོ་གཉིས་པ། བདུད་ཀྱི་ལས་ཀྱི་ལེའུ།,魔事品第三十二
,,,2,སོ་གསུམ་པ། འཇིག་རྟེན་སྟོན་པའི་ལེའུ།,世間師品第三十三
,,,2,སོ་བཞི་པ། མི་མཉམ་པ་དང་མཉམ་པའི་ལེའུ།,無等等品第三十四
,,,2,སོ་ལྔ་པ། འདུས་པའི་ལེའུ།,聚集品第三十五
,,,2,སོ་དྲུག་པ། གྲུའི་ལེའུ།,船品第三十六
,,,2,སོ་བདུན་པ། ངོ་བོ་ཉིད་ཀྱི་ལེའུ།,自性品第三十七
,,,2,སོ་བརྒྱད་པ། ཆགས་པ་མེད་པའི་ལེའུ། (སྟོད),無貪品第三十八(上)
,第26函 པ,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼པ༽,般若十萬頌（十三）
,,,2,སོ་བརྒྱད་པ། ཆགས་པ་མེད་པའི་ལེའུ། (སྨད),無貪品第三十八(下)
,,,2,སོ་དགུ་པ། བྱང་ཆུབ་སེམས་ཀྱི་བསླབ་པ་རྣམ་པར་གཞག་པའི་ལེའུ།,論菩提心學處品第三十九
,,,2,བཞི་བཅུ་པ། སྦྱོར་ལམ་གྱི་རྟགས་བསྟན་པའི་ལེའུ།,教授加行道相品第四十
,,,2,ཞེ་གཅིག་པ། ཕྱིར་མི་ལྡོག་པའི་རྟགས་ཀྱི་ལེའུ།,不退轉相品第四十一
,,,2,ཞེ་གཉིས་པ། ཐབས་ལ་མཁས་པའི་ལེའུ།,善方便品第四十二
,,,2,ཞེ་གསུམ་པ། ཞིང་སྦྱོང་བའི་ཐབས་ལ་མཁས་པའི་ལེའུ།,善巧淨土品第四十三
,,,2,ཞེ་བཞི་པ། གང་གཱའི་ལྷ་མོའི་ལེའུ།,殑伽天女品第四十四
,,,2,ཞེ་ལྔ་པ། རྣམ་ཐར་སྒོ་གསུམ་གྱི་ཐབས་ལ་མཁས་པའི་ལེའུ།,方便三解脫門品第四十五
,,,2,ཞེ་དྲུག་པ། རྣམ་པར་རྟོག་པ་སྤང་བའི་ལེའུ།,斷分別想品第四十六
,,,2,ཞེ་བདུན་པ། སྤྱོད་པའི་ལེའུ།,有行品第四十七
,第27函 ཕ,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼ཕ༽,般若十萬頌（十四）
,,,2,ཞེ་བརྒྱད་པ། བསླབ་པ་མཉམ་པའི་ལེའུ།,學處平等品第四十八
,,,2,ཞེ་དགུ་པ། རྣམ་པར་མི་རྟོག་པའི་ལེའུ།,無分別想品第四十九
,,,2,ལྔ་བཅུ་པ། ཆགས་པ་མེད་པའི་ལེའུ།,無貪品第五十
,,,2,ང་གཅིག་པ། ཡོངས་སུ་གཏད་པའི་ལེའུ།,囑累品第五十一
,,,2,ང་གཉིས་པ། མི་ཟད་པའི་ལེའུ།,無盡品第五十二
,,,2,ང་གསུམ་པ། ཐོད་རྒལ་གྱི་ལེའུ།,超入品第五十三
,,,2,ང་བཞི་པ། ཆོས་གཉིས་ཀྱི་ཞུ་བ་མང་བའི་ལེའུ།,多二法品第五十四
,第28函 བ,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼བ༽,般若十萬頌（十五）
,,,2,ང་ལྔ་པ། ཡང་དག་པར་བསྟན་པའི་ལེའུ།,正開演品第五十五
,,,2,ང་དྲུག་པ། དགེ་བའི་བཤེས་གཉེན་ལ་བསྙེན་བཀུར་བའི་ལེའུ།,恭敬善知識品第五十六
,,,2,ང་བདུན་པ། སྦྱིན་པའི་ལེའུ།,布施品第五十七
,,,2,ང་བརྒྱད་པ། ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་གི་ཐབས་ཀྱི་ལེའུ།,六波羅蜜方便品第五十八
,,,2,ང་དགུ་པ། རྣམ་འཕེལ་གྱི་ལེའུ།,增上品第五十九
,,,2,དྲུག་བཅུ་པ། མཐར་གྱིས་པའི་ལེའུ།,漸次品第六十
,,,2,རེ་གཅིག་པ། མཚན་མ་མེད་པའི་ལེའུ།,無相品第六十一
,,,2,རེ་གཉིས་པ། མཚན་ཉིད་མེད་པའི་ལེའུ།,無性品第六十二
,,,2,རེ་གསུམ་པ། མཚན་དཔེའི་ལེའུ།,相好品第六十三
,第29函 ཨ,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་བརྒྱ་པ། ༼ཨ༽,般若十萬頌（十六）
,,,2,རེ་བཞི་པ། མཉམ་པ་ཉིད་ཀྱི་ལེའུ།,平等性品第六十四
,,,2,རེ་ལྔ་པ། ཆོས་ཉིད་འཁྲུག་པ་མེད་པའི་ལེའུ།,法性不動品第六十五
,,,2,རེ་དྲུག་པ། མི་དམིགས་པ་དང་སེམས་ཅན་ཡོངས་སུ་སྨིན་པའི་བྱེད་པའི་ཕྲིན་ལས་སྟོན་པའི་ལེའུ།,開演無緣成熟有情品第六十六
,,,2,རེ་བདུན་པ། སངས་རྒྱས་ཀྱི་ཞིང་དག་པའི་ལེའུ།,諸佛淨土品第六十七
,,,2,རེ་བརྒྱད་པ།  སེམས་ཅན་ཡོངས་སུ་སྨིན་པར་བྱེད་པའི་ལེའུ།,成熟有情品第六十八
,,,2,རེ་དགུ་པ། དངོས་པོ་དང་དངོས་པོ་མེད་པའི་སེམས་ཅན་གྱི་ལེའུ།,物與非物有情品第六十九
,,,2,བདུན་ཅུ་པ། ཀུན་ནས་ཉོན་མོངས་དང་རྣམ་བྱང་མེད་པའི་ལེའུ།,無染淨品第七十
,,,2,དོན་གཅིག་པ། དོན་དམ་པའི་རྣལ་འབྱོར་གྱི་ལེའུ།,勝義瑜伽行品第七十一
,,,2,དོན་གཉིས་པ། ཆོས་ཉིད་མི་འགྱུར་བ་བསྟན་པའི་ལེའུ།,開演法性不變品第七十二
第3部 ཤེར་ཕྱིན། ཉི་ཁྲི། Pañcaviṃśatisāhasrikāprajñāpāramitā  第二般若兩萬五千頌,第30函 ཀ,J10,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པ། ༼ཀ༽,般若二萬五千頌（一）
,,,2,ལེའུ་དང་པོ།,第一品
,,,2,ལེའུ་གཉིས་པ།,第二品
,,,2,ལེའུ་གསུམ་པ།,第三品
,,,2,ལེའུ་བཞི་པ།,第四品
,,,2,ལེའུ་ལྔ་པ།,第五品
,,,2,ལེའུ་དྲུག་པ།,第六品
,,,2,ལེའུ་བདུན་པ།,第七品
,,,2,ལེའུ་བརྒྱད་པ།,第八品
,,,2,ལེའུ་དགུ་པ།,第九品
,,,2,འེའུ་བཅུ་པ།,第十品
,,,2,ལེའུ་བཅུ་གཅིག་པ། (སྟོད),第十一品(上)
,第31函 ཁ,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པ། ༼ཁ༽,般若二萬五千頌（二）
,,,2,ལེའུ་བཅུ་གཅིག་པ། (སྨད),第十一品(下)
,,,2,ལེའུ་བཅུ་གཉིས་པ།,第十二品
,,,2,ལེའུ་བཅུ་གསུམ་པ།,第十三品
,,,2,ལེའུ་བཅུ་བཞི་པ།,第十四品
,,,2,ལེའུ་བཅོ་ལྔ་པ།,第十五品
,,,2,ལེའུ་བཅུ་དྲུག་པ།,第十六品
,,,2,ལེའུ་བཅུ་བདུན་པ།,第十七品
,,,2,ལེའུ་བཅོ་བརྒྱད་པ།,第十八品
,,,2,ལེའུ་བཅུ་དགུ་པ།,第十九品
,,,2,ལེའུ་ཉི་ཤུ་པ།,第二十品
,,,2,ལེའུ་ཉི་ཤུ་གཅིག་པ།,第二十一品
,,,2,ལེའུ་ཉི་ཤུ་གཉིས་པ།,第二十二品
,,,2,ལེའུ་ཉི་ཤུ་གསུམ་པ།,第二十三品
,,,2,ལེའུ་ཉི་ཤུ་བཞི་པ།,第二十四品
,,,2,ལེའུ་ཉི་ཤུ་ལྔ་པ།,第二十五品
,,,2,ལེའུ་ཉི་ཤུ་དྲུག་པ།,第二十六品
,,,2,ལེའུ་ཉི་ཤུ་བདུན་པ།,第二十七品
,,,2,ལེའུ་ཉི་ཤུ་བརྒྱད་པ། (སྟོད),第二十八品(上)
,第32函 ག,,1,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པ། ༼ག༽,般若二萬五千頌（三）
,,,2,ལེའུ་ཉི་ཤུ་བརྒྱད་པ། (སྨད),第二十八品(下)
,,,2,ལེའུ་ཉི་ཤུ་དགུ་པ།,第二十九品
,,,2,ལེའུ་སུམ་བཅུ་པ།,第三十品
,,,2,ལེའུ་སུམ་ཅུ་གཅིག་པ།,第三十一品
,,,2,ལེའུ་སུམ་ཅུ་གཉིས་པ།,第三十二品
,,,2,ལེའུ་སུམ་ཅུ་གསུམ་པ།,第三十三品
,,,2,ལེའུ་སུམ་ཅུ་བཞི་པ།,第三十四品
,,,2,ལེའུ་སུམ་ཅུ་ལྔ་པ།,第三十五品
,,,2,ལེའུ་སུམ་ཅུ་དྲུག་པ།,第三十六品
,,,2,ལེའུ་སུམ་ཅུ་བདུན་པ།,第三十七品
,,,2,ལེའུ་སུམ་ཅུ་བརྒྱད་པ།,第三十八品
,,,2,ལེའུ་སུམ་ཅུ་དགུ་པ།,第三十九品
,,,2,ལེའུ་བཞི་བཅུ་པ།,第四十品
,,,2,ལེའུ་བཞི་བཅུ་གཅིག་པ།,第四十一品
,,,2,ལེའུ་བཞི་བཅུ་གཉིས་པ།,第四十二品
,,,2,ལེའུ་བཞི་བཅུ་གསུམ་པ།,第四十三品
,,,2,ལེའུ་བཞི་བཅུ་བཞི་པ།,第四十四品
,,,2,ལེའུ་བཞི་བཅུ་ལྔ་པ།,第四十五品
,,,2,ལེའུ་བཞི་བཅུ་དྲུག་པ།,第四十六品
